MatrixSizes = [20, 50, 100,200]
similarityLow = [0.3, 0.4, 0.5, 0.6, 0.7, 0.8]
similarityHigh = [0.7, 0.8, 0.9]
similarityThreshHolds = [0.7, 0.8, 0.9]

random.seed(0)
sampleSize = 1000

result:
M=20,s_low=0.3,s_high=0.7:
Precision@0.7=1.0,Recall-Score@0.7=1018,
Precision@0.8=1.0,Recall-Score@0.8=1018,
Precision@0.9=0.993,Recall-Score@0.9=1004,

M=20,s_low=0.3,s_high=0.8:
Precision@0.7=1.0,Recall-Score@0.7=1018,
Precision@0.8=1.0,Recall-Score@0.8=1018,
Precision@0.9=0.9935,Recall-Score@0.9=1005,

M=20,s_low=0.3,s_high=0.9:
Precision@0.7=1.0,Recall-Score@0.7=1001,
Precision@0.8=1.0,Recall-Score@0.8=1001,
Precision@0.9=0.9935,Recall-Score@0.9=988,

M=20,s_low=0.4,s_high=0.7:
Precision@0.7=1.0,Recall-Score@0.7=1017,
Precision@0.8=1.0,Recall-Score@0.8=1017,
Precision@0.9=0.9925,Recall-Score@0.9=1002,

M=20,s_low=0.4,s_high=0.8:
Precision@0.7=1.0,Recall-Score@0.7=1017,
Precision@0.8=1.0,Recall-Score@0.8=1017,
Precision@0.9=0.9925,Recall-Score@0.9=1002,

M=20,s_low=0.4,s_high=0.9:
Precision@0.7=0.9975,Recall-Score@0.7=995,
Precision@0.8=0.9975,Recall-Score@0.8=995,
Precision@0.9=0.99,Recall-Score@0.9=980,

M=20,s_low=0.5,s_high=0.7:
Precision@0.7=1.0,Recall-Score@0.7=1018,
Precision@0.8=1.0,Recall-Score@0.8=1018,
Precision@0.9=0.992,Recall-Score@0.9=1002,

M=20,s_low=0.5,s_high=0.8:
Precision@0.7=1.0,Recall-Score@0.7=997,
Precision@0.8=1.0,Recall-Score@0.8=997,
Precision@0.9=0.9935,Recall-Score@0.9=984,

M=20,s_low=0.5,s_high=0.9:
Precision@0.7=1.0,Recall-Score@0.7=1001,
Precision@0.8=1.0,Recall-Score@0.8=1001,
Precision@0.9=0.994,Recall-Score@0.9=989,

M=20,s_low=0.6,s_high=0.7:
Precision@0.7=1.0,Recall-Score@0.7=1017,
Precision@0.8=1.0,Recall-Score@0.8=1017,
Precision@0.9=0.993,Recall-Score@0.9=1003,


M=20,s_low=0.6,s_high=0.8:
Precision@0.7=1.0,Recall-Score@0.7=995,
Precision@0.8=1.0,Recall-Score@0.8=995,
Precision@0.9=0.993,Recall-Score@0.9=981,

M=20,s_low=0.6,s_high=0.9:
Precision@0.7=1.0,Recall-Score@0.7=991,
Precision@0.8=1.0,Recall-Score@0.8=991,
Precision@0.9=0.994,Recall-Score@0.9=979,

M=20,s_low=0.7,s_high=0.8:
Precision@0.7=1.0,Recall-Score@0.7=1004,
Precision@0.8=1.0,Recall-Score@0.8=1004,
Precision@0.9=0.993,Recall-Score@0.9=990,

M=20,s_low=0.7,s_high=0.9:
Precision@0.7=1.0,Recall-Score@0.7=670,
Precision@0.8=1.0,Recall-Score@0.8=670,
Precision@0.9=0.9965,Recall-Score@0.9=663,

M=20,s_low=0.8,s_high=0.9:
Precision@0.7=1.0,Recall-Score@0.7=644,
Precision@0.8=1.0,Recall-Score@0.8=644,
Precision@0.9=0.9965,Recall-Score@0.9=637,

M=50,s_low=0.3,s_high=0.7:
Precision@0.7=1.0,Recall-Score@0.7=1019,
Precision@0.8=1.0,Recall-Score@0.8=1019,
Precision@0.9=0.993,Recall-Score@0.9=1005,

