
MatrixSizes = [30,35,40,45]
similarityLow = [0.3, 0.4, 0.5, 0.6, 0.7, 0.8]
similarityHigh = [0.7, 0.8, 0.9]
similarityThreshHolds = [0.7, 0.8, 0.9]

random.seed(0)
sampleSize = 1000

result:
M=30,s_low=0.3,s_high=0.7:
Precision@0.7=0.9975000000000002,Recall-Score@0.7=1019,
Precision@0.8=0.9975000000000002,Recall-Score@0.8=1019,
Precision@0.9=0.9910000000000001,Recall-Score@0.9=1006,

M=30,s_low=0.3,s_high=0.8:
Precision@0.7=0.9995,Recall-Score@0.7=1014,
Precision@0.8=0.9995,Recall-Score@0.8=1014,
Precision@0.9=0.993,Recall-Score@0.9=1001,

M=30,s_low=0.3,s_high=0.9:
Precision@0.7=0.9985,Recall-Score@0.7=1017,
Precision@0.8=0.9985,Recall-Score@0.8=1017,
Precision@0.9=0.9915,Recall-Score@0.9=1003,

M=30,s_low=0.4,s_high=0.7:
Precision@0.7=1.0,Recall-Score@0.7=1016,
Precision@0.8=1.0,Recall-Score@0.8=1016,
Precision@0.9=0.9925,Recall-Score@0.9=1001,

M=30,s_low=0.4,s_high=0.8:
Precision@0.7=1.0,Recall-Score@0.7=1016,
Precision@0.8=1.0,Recall-Score@0.8=1016,
Precision@0.9=0.9945,Recall-Score@0.9=1005,

M=30,s_low=0.4,s_high=0.9:
Precision@0.7=1.0,Recall-Score@0.7=1001,
Precision@0.8=1.0,Recall-Score@0.8=1001,
Precision@0.9=0.9935,Recall-Score@0.9=988,

M=30,s_low=0.5,s_high=0.7:
Precision@0.7=1.0,Recall-Score@0.7=1016,
Precision@0.8=1.0,Recall-Score@0.8=1016,
Precision@0.9=0.994,Recall-Score@0.9=1004,

M=30,s_low=0.5,s_high=0.8:
Precision@0.7=1.0,Recall-Score@0.7=1017,
Precision@0.8=1.0,Recall-Score@0.8=1017,
Precision@0.9=0.993,Recall-Score@0.9=1003,

M=30,s_low=0.5,s_high=0.9:
Precision@0.7=1.0,Recall-Score@0.7=1010,
Precision@0.8=1.0,Recall-Score@0.8=1010,
Precision@0.9=0.992,Recall-Score@0.9=994,

M=30,s_low=0.6,s_high=0.7:
Precision@0.7=1.0,Recall-Score@0.7=1018,
Precision@0.8=1.0,Recall-Score@0.8=1018,
Precision@0.9=0.9935,Recall-Score@0.9=1005,

M=30,s_low=0.6,s_high=0.8:
Precision@0.7=0.9995,Recall-Score@0.7=1009,
Precision@0.8=0.9995,Recall-Score@0.8=1009,
Precision@0.9=0.993,Recall-Score@0.9=996,

M=30,s_low=0.6,s_high=0.9:
Precision@0.7=0.9995,Recall-Score@0.7=1002,
Precision@0.8=0.9995,Recall-Score@0.8=1002,
Precision@0.9=0.992,Recall-Score@0.9=987,

M=30,s_low=0.7,s_high=0.8:
Precision@0.7=1.0,Recall-Score@0.7=1004,
Precision@0.8=1.0,Recall-Score@0.8=1004,
Precision@0.9=0.993,Recall-Score@0.9=990,

M=30,s_low=0.7,s_high=0.9:
Precision@0.7=0.9995,Recall-Score@0.7=805,
Precision@0.8=0.9995,Recall-Score@0.8=805,
Precision@0.9=0.9935,Recall-Score@0.9=793,

M=30,s_low=0.8,s_high=0.9:
Precision@0.7=1.0,Recall-Score@0.7=809,
Precision@0.8=1.0,Recall-Score@0.8=809,
Precision@0.9=0.996,Recall-Score@0.9=801,

M=35,s_low=0.3,s_high=0.7:
Precision@0.7=1.0,Recall-Score@0.7=1019,
Precision@0.8=1.0,Recall-Score@0.8=1019,
